model,correct,wrong,total,accuracy,wrong_ids
qwen72b-bench,227,55,282,0.805,q004;q016;q020;q023;q025;q030;q037;q039;q047;q052;q055;q066;q085;q090;q099;q116;q117;q118;q121;q122;q125;q126;q129;q136;q142;q151;q154;q156;q176;q180;q182;q188;q189;q195;q208;q209;q216;q218;q222;q223;q226;q232;q244;q250;q252;q255;q259;q266;q271;q281;q290;q293;q315;q317;q321
qwen32b-bench,225,57,282,0.7979,q004;q015;q017;q023;q025;q037;q047;q052;q055;q085;q090;q093;q099;q111;q116;q117;q118;q121;q122;q129;q142;q151;q154;q156;q176;q180;q182;q188;q189;q191;q194;q195;q208;q216;q218;q222;q223;q226;q232;q244;q250;q252;q255;q257;q259;q266;q269;q271;q281;q283;q290;q293;q307;q311;q315;q317;q321
qwen3-next-80b-a3b-bench,224,58,282,0.7943,q004;q015;q023;q025;q030;q037;q045;q047;q051;q052;q055;q085;q090;q111;q116;q117;q118;q121;q122;q126;q129;q142;q151;q154;q155;q176;q180;q182;q188;q189;q191;q194;q195;q209;q216;q218;q222;q223;q226;q232;q233;q240;q244;q250;q252;q255;q256;q259;q266;q271;q281;q290;q293;q312;q313;q315;q317;q321
qwen3-30b-a3b-bench,219,63,282,0.7766,q004;q017;q020;q023;q025;q030;q036;q037;q039;q047;q050;q052;q055;q085;q090;q093;q094;q104;q116;q117;q118;q120;q121;q122;q126;q129;q136;q142;q148;q151;q154;q156;q176;q180;q182;q188;q189;q191;q193;q195;q208;q216;q218;q222;q223;q225;q226;q232;q233;q244;q250;q252;q255;q259;q266;q269;q271;q281;q290;q293;q313;q315;q317
qwen7b-bench,210,72,282,0.7447,q004;q023;q025;q026;q036;q037;q039;q043;q045;q047;q052;q055;q058;q066;q072;q083;q085;q090;q096;q098;q100;q104;q116;q118;q120;q121;q122;q126;q129;q142;q144;q151;q154;q175;q176;q180;q182;q183;q188;q189;q191;q195;q208;q216;q218;q220;q222;q223;q226;q232;q244;q248;q250;q252;q254;q255;q259;q260;q261;q266;q271;q273;q281;q290;q293;q302;q309;q312;q314;q315;q317;q321
qwen14b-bench,195,87,282,0.6915,q004;q017;q020;q023;q025;q034;q037;q039;q047;q052;q053;q055;q058;q061;q063;q072;q073;q085;q086;q090;q100;q103;q111;q116;q117;q118;q121;q122;q126;q129;q141;q142;q151;q154;q162;q174;q175;q176;q177;q180;q182;q183;q188;q189;q191;q193;q195;q199;q208;q209;q216;q218;q219;q222;q223;q226;q227;q228;q232;q233;q244;q250;q254;q255;q259;q260;q261;q265;q266;q268;q271;q274;q276;q277;q281;q289;q290;q293;q294;q300;q302;q309;q311;q313;q315;q317;q318
